sequence_id,frame_no,Animals - Bird,Animals - Other,Bicycle,Bus,Car,Cones,Construction Signs,Emergency Vehicle,Medium-sized Truck,Motorcycle,Motorized Scooter,Other Vehicle - Construction Vehicle,Other Vehicle - Pedicab,Other Vehicle - Uncommon,Pedestrian,Pedestrian with Object,Personal Mobility Device,Pickup Truck,Pylons,Road Barriers,Rolling Containers,Semi-truck,Signs,Temporary Construction Barriers,Towed Object,Train,Tram / Subway
001,0,0.0,0.0,0.0,0.0,88,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,1,0.0,0.0,0.0,0.0,92,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,2,0.0,0.0,0.0,0.0,95,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,3,0.0,0.0,0.0,0.0,95,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,4,0.0,0.0,0.0,0.0,96,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,5,0.0,0.0,0.0,0.0,96,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,6,0.0,0.0,0.0,0.0,96,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,7,0.0,0.0,0.0,0.0,97,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,8,0.0,0.0,0.0,0.0,97,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,9,0.0,0.0,0.0,0.0,97,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,10,0.0,0.0,0.0,0.0,97,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,11,0.0,0.0,0.0,0.0,98,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,12,0.0,0.0,0.0,0.0,98,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,13,0.0,0.0,0.0,0.0,98,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
001,14,0.0,0.0,0.0,0.0,98,7.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
